pl_name,hip_name,st_spectype
GJ 3138 d,10037,M
HD 13189 b,10085,F
HD 195019 b,100970,F
TOI-262 b,10117,F
KELT-9 b,101252,F
GJ 86 b,10138,F
HD 196050 b,101806,G
HD 197037 b,101948,F
HD 196885 A b,101966,F
HD 196067 b,102125,G
GJ 806 c,102401,M
AU Mic b,102409,F
HD 13808 c,10301,K
BD-210397 c,10337,K
18 Del b,103527,F
GJ 9714 b,103768,F
HD 200964 b,104202,F
HD 199509 b,104436,F
MASCARA-1 b,104513,A
BD+14 4559 b,104780,K
HD 202206 c,104903,F
HD 202696 c,105056,K
HD 203030 b,105232,G
HIP 105854 b,105854,K
HD 204313 b,106006,G
HD 13931 b,10626,F
HD 204941 b,106353,F
GJ 832 b,106440,F
HD 14067 b,10657,G
HD 205739 b,106824,F
HD 207897 b,107038,F
nu Oct A b,107089,K
HD 206255 b,107160,G
HD 206610 b,107251,F
HN Peg b,107350,G
HD 13908 b,10743,F
HIP 107772 b,107772,M
HIP 107773 b,107773,K
HD 207832 b,107985,G
HD 12648 b,10800,F
HD 207496 b,108162,F
HD 208527 b,108296,M
HD 208487 b,108375,G
HD 208897 b,108513,K
HD 209458 b,108859,G
eps Ind A b,108870,K
HD 210277 b,109378,F
HD 210193 b,109381,G
HIP 109384 b,109384,G
GJ 849 c,109388,M
HD 210702 b,109577,F
HIP 109600 b,109600,G
K2-65 b,109656,F
HD 211403 b,109876,F
HD 211810 b,110094,G
HD 211970 b,110443,K
GJ 96 b,11048,M
K2-116 b,110620,F
K2-167 b,110758,F
HD 212771 b,110813,F
HD 212301 b,110852,F
HD 213472 b,111136,F
HD 213240 b,111143,F
HD 14787 b,11130,F
HD 213885 b,111553,G
HD 214823 b,111928,G
HD 215152 e,112190,K
HD 215497 b,112441,K
HD 216520 b,112527,F
GJ 876 d,113020,F
HD 216435 b,113044,F
HIP 113103 b,113103,F
HD 216437 b,113137,G
HD 216770 b,113238,F
51 Peg b,113357,F
HD 217107 b,113421,F
HD 217786 c,113834,F
WASP-33 b,11397,F
GJ 887 c,114046,M
HR 8799 b,114189,F
HD 218566 b,114322,F
HD 15337 c,11433,F
BD-00 4475 b,114458,G
HD 219134 d,114622,F
HD 219077 b,114699,F
HD 240237 b,114840,F
91 Aqr b,114855,K
HIP 114933 b,114933,K
HD 219828 b,115100,F
L 168-9 b,115211,F
HD 220074 b,115218,F
HD 220197 b,115359,F
HD 220689 b,115662,G
HD 220773 b,115697,F
HD 220842 b,115714,F
GJ 9827 c,115752,K
14 And b,116076,K
HD 221287 b,116084,F
GJ 896 A b,116132,M
HD 221416 b,116158,F
HD 221585 b,116221,G
HD 221420 b,116250,G
HIP 116454 b,116454,F
HD 222155 b,116616,G
HD 222076 b,116630,K
gam Cep b,116727,F
DS Tuc A b,116748,G
kap And b,116805,B
HD 222582 b,116906,F
LTT 9779 b,117883,G
75 Cet b,11791,G
HD 224538 b,118228,F
HD 224693 b,118319,G
GJ 338 B b,120005,M
HD 16141 b,12048,F
30 Ari B b,12184,F
HD 16417 b,12186,G
HD 16175 b,12191,F
81 Cet b,12247,F
HD 16905 b,12436,K
HR 810 b,12653,F
BD+48 740 b,12684,F
GJ 3021 b,1292,G
HIP 12961 b,12961,F
HD 17156 b,13192,G
TOI-4641 b,13224,F
HD 17674 b,13291,G
HR 858 c,13363,F
HD 18015 b,13467,F
HD 18143 c,13642,F
HD 18599 b,13754,F
HD 18742 b,13993,F
LTT 1445 A c,14101,F
HD 1397 b,1419,F
HD 18438 b,14417,M
HD 20003 b,14530,G
GJ 15 A b,1475,M
HIP 14810 b,14810,F
HD 19994 b,14954,F
HD 1461 b,1499,G
HD 20329 b,15249,F
HD 1502 b,1547,F
HD 20794 c,15510,G
HD 20781 e,15526,K
HD 20782 b,15527,F
HD 20868 b,15578,K
GJ 3222 b,15799,F
HD 21411 b,16012,G
HD 21749 c,16069,K
HD 21693 b,16085,G
HD 1605 c,1640,K
eps Eri b,16537,F
HD 1666 b,1666,F
HD 22496 b,16711,F
HD 1690 b,1692,F
HD 22946 d,17047,F
HD 23127 b,17054,F
HD 23079 b,17096,F
HD 22781 b,17187,K
HD 23472 d,17264,K
HD 24085 b,17515,G
HD 23596 b,17747,F
HD 24040 b,17960,F
HD 25171 b,18387,F
HD 24064 b,18451,K
HD 25015 b,18527,K
HD 25723 b,19011,K
GJ 160.2 b,19165,M
HD 285507 b,19207,F
HD 2039 b,1931,G
GJ 163 d,19394,F
HD 26161 b,19428,F
HD 26965 b,19849,K
HD 27442 b,19921,F
TOI-444 b,19950,K
HIP 19976 b,19976,F
HD 27631 b,20199,G
HD 27894 d,20277,F
HD 28254 b,20606,G
HD 28185 b,20723,G
HD 27969 b,20753,G
eps Tau b,20889,K
HD 28678 b,21109,F
HIP 21152 b,21152,F
alf Tau b,21421,K
51 Eri b,21547,F
HD 29021 b,21571,G
HD 30177 c,21850,F
HD 285968 b,21932,F
HD 30669 b,22320,G
HD 30562 b,22336,G
BD-17 63 b,2247,K
HD 30856 b,22491,F
GJ 179 b,22627,M
GJ 180 d,22762,F
HD 31253 b,22826,F
HD 31527 c,22905,G
HD 2638 b,2350,K
HD 33142 b,23844,F
HD 32963 b,23884,G
HD 33283 b,23889,G
HD 32518 b,24003,K
Kapteyn c,24186,F
HD 33844 b,24275,K
KELT-7 b,24323,F
HD 34445 g,24681,G
HD 33564 b,25110,F
HD 290327 b,25191,G
AF Lep b,25486,F
MWC 758 c,25793,A
HD 35759 b,25883,G
TOI-431 d,26013,F
HD 2952 b,2611,K
HD 38283 b,26380,F
HD 37124 d,26381,G
pi Men c,26394,F
HD 36384 b,26638,M
HD 37605 b,26664,F
HD 39194 c,27080,K
HD 38529 c,27253,F
DMPP-1 e,27305,F
bet Pic b,27321,F
HD 3167 b,2736,F
HD 38801 b,27384,F
TOI-201 b,27515,F
BD-06 1339 b,27803,K
HD 40307 c,27887,F
HD 39855 b,27922,G
HD 41004 B b,28393,F
LHS 1815 b,28754,M
HD 40979 b,28767,F
DMPP-3 A b,28941,F
HD 40956 b,28951,F
HD 42012 b,29242,K
GJ 229 b,29295,F
KELT-2 A b,29301,F
HD 42618 b,29432,G
HIP 29442 b,29442,F
HD 43197 c,29550,F
AB Pic b,30034,K
HD 43691 b,30057,G
HD 44219 b,30114,G
HD 45184 b,30503,F
HD 45364 b,30579,K
HD 45350 b,30860,F
HD 45652 b,30905,G
HD 3651 b,3093,K
6 Lyn b,31039,F
HD 46375 b,31246,F
GJ 27.1 b,3143,M
HD 47186 c,31540,F
7 CMa b,31592,F
HD 260655 b,31635,M
HD 47366 b,31674,F
HD 47536 b,31688,F
HD 48265 b,31895,G
HD 3765 b,3206,F
HAT-P-56 b,32209,F
HR 2562 b,32775,F
HD 49674 b,32916,F
HD 50499 c,32970,F
HD 50554 b,33212,F
GJ 251 b,33226,M
HD 51608 b,33229,G
HD 52265 b,33719,F
HD 4113 b,3391,F
HIP 34222 b,34222,K
tau Gem b,34693,K
GJ 2056 b,34785,F
HD 4208 b,3479,F
HD 55696 b,34801,G
HD 4308 b,3497,F
HD 4203 c,3502,F
HIP 35173 b,35173,K
HD 4313 b,3574,F
HIP 35965 b,35965,F
GJ 273 c,36208,M
HD 59686 A b,36616,K
HD 60532 c,36795,F
HD 62364 b,36941,F
HD 60292 b,37196,K
HD 63454 b,37284,F
HD 62509 b,37826,F
HD 63765 b,38041,F
HD 63433 d,38228,G
HD 4732 b,3834,K
HD 63935 c,38374,F
HD 64114 b,38392,G
HD 65216 b,38558,F
HIP 38594 c,38594,M
HD 4760 b,3869,F
HD 5278 b,3911,F
HD 66141 b,39311,K
HD 66428 c,39417,F
HD 68402 b,39589,G
HD 4917 b,3975,F
HD 67087 b,39767,F
HD 69123 b,40344,K
bet Cnc b,40526,K
HD 68988 b,40687,F
HD 69830 b,40693,F
HD 70642 b,40952,F
HIP 41378 f,41378,F
omi UMa b,41704,F
HD 72490 b,41997,F
HD 72659 b,42030,F
HD 72892 b,42098,G
HD 73267 b,42202,F
HD 73256 c,42214,G
HD 73526 b,42282,F
HD 73583 b,42401,K
HD 73534 b,42446,F
4 UMa b,42527,K
HD 74698 b,42532,G
HD 74156 b,42723,G
HD 5319 b,4297,G
HD 75289 b,43177,F
HD 75302 b,43297,G
HD 75784 c,43569,G
55 Cnc e,43587,F
HD 75898 b,43674,F
HD 76700 b,43686,F
GJ 328 b,43790,M
HD 76920 b,43803,K
HD 77338 b,44291,F
HD 77946 b,44746,F
HD 79498 b,45406,G
HD 5608 b,4552,F
HD 80606 b,45982,F
HD 80869 b,46022,G
HD 81040 b,46076,G
HD 81688 b,46471,K
HD 82943 c,47007,F
HD 82886 b,47087,F
GJ 357 d,47103,M
HD 5891 b,4715,F
HD 81817 c,47193,F
HD 83443 c,47202,K
GJ 367 d,47780,M
HD 85390 b,48235,F
HD 85512 b,48331,K
HIP 4845 b,4845,F
mu Leo b,48455,K
HD 86081 b,48711,F
HIP 48714 b,48714,M
Gl 49 b,4872,M
HD 86226 c,48739,F
HD 86264 b,48780,F
BD-08 2823 b,49067,K
HD 86950 b,49129,K
Gl 378 b,49189,M
HD 87646 b,49522,G
HD 87883 b,49699,K
HD 88133 b,49813,F
HD 88986 b,50316,G
